text	labels
Très vite la note atteint les 40 € pour mal manger.	['(FOOD#QUALITY, NEGATIVE)', '(RESTAURANT#PRICES, NEGATIVE)']
Un local sympathique, un personnel très jeune, agréable, au bar comme au restaurant.	['(AMBIENCE#GENERAL, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)']
"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."	['(FOOD#STYLE_OPTIONS, NEGATIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, POSITIVE)', '(FOOD#QUALITY, NEGATIVE)', '(FOOD#QUALITY, NEGATIVE)']
Dés que nous sommes rentrés dans l’établissent, nous avons ressenti un stress qui planait autours des employés...	['(AMBIENCE#GENERAL, NEGATIVE)']
Assurément à éviter.	['(RESTAURANT#GENERAL, NEGATIVE)']
Ne pas se fier à l'entrée vide, tout se passe à l'étage.	['(AMBIENCE#GENERAL, POSITIVE)']
J'ai adoré ce restaurant!	['(RESTAURANT#GENERAL, POSITIVE)']
Impensable que de restaurants comme celui ci existent sur Paris...	['(RESTAURANT#GENERAL, NEGATIVE)']
De toute façon, je n'y retournerai pas car pas bon.....	['(FOOD#QUALITY, NEGATIVE)']
Dommage pour les patrons qui perdent du monde à cause de l'employé qui se prend pour un patron justement !	['(SERVICE#GENERAL, NEGATIVE)']
Et nous dit texto : si vous désirez café ou digestif c'eSt dans 5 min Max au bar !!!!!!!!	['(SERVICE#GENERAL, NEGATIVE)']
Les amis voulaient manger des crêpes mais ... impossible de se faire accepter dans celles qui nous avaient été recommandées :nous nous sommes retrouvés chez les tch'ti qui ne sont pas spécialistes des galettes et crêpes.	['(FOOD#STYLE_OPTIONS, NEUTRAL)']
Serveurs désagréables, vous etes pas du coin?	['(SERVICE#GENERAL, NEGATIVE)']
On ne peut dire que du bien de ce restaurant.	['(RESTAURANT#GENERAL, POSITIVE)']
Un accueil et service toujours parfait, un très bon choix de vin ( même les pichets sont très bon), d apéritifs et surtout tester les coktails!!	['(SERVICE#GENERAL, POSITIVE)', '(SERVICE#GENERAL, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)', '(DRINKS#QUALITY, POSITIVE)', '(DRINKS#QUALITY, POSITIVE)', '(DRINKS#STYLE_OPTIONS, POSITIVE)']
Les toilettes étaient sales.	['(RESTAURANT#MISCELLANEOUS, NEGATIVE)']
Nous avons rarement aussi mal mangé à Bordeaux.	['(FOOD#QUALITY, NEGATIVE)']
Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .	['(FOOD#QUALITY, NEUTRAL)', '(FOOD#STYLE_OPTIONS, NEUTRAL)', '(FOOD#PRICES, NEUTRAL)', '(AMBIENCE#GENERAL, NEUTRAL)']
Vraiment nul!	['(RESTAURANT#GENERAL, NEGATIVE)']
Evidemment ce n'est pas un resto gastronomique mais ce n'est pas ce qu'on lui demande!	['(RESTAURANT#GENERAL, NEUTRAL)']
